user_query
"1. Add a book with title ""Clean Code"" and author ""Robert C. Martin""."
"  2. Get all entities related to the book ""Clean Code""."
"  3. Update the book ""Clean Code"" with a new edition number"
"  4. Delete the book with the title ""Clean Code""."
"  5. Show me the author of the book ""Clean Code""."
"  6. Add a video game with title ""The Last of Us"" and developer ""Naughty Dog""."
"  7. Get all entities related to the video game ""The Last of Us""."
"  8. Update the video game ""The Last of Us"" with a new release date"
"  9. Delete the video game with the title ""The Last of Us""."
"  10. Show me the developer of the video game ""The Last of Us""."
"  11. Add a TV series with title ""Breaking Bad"" and creator ""Vince Gilligan""."
"  12. Get all entities related to the TV series ""Breaking Bad""."
"  13. Update the TV series ""Breaking Bad"" with a new number of seasons"
"  14. Delete the TV series with the title ""Breaking Bad""."
"  15. Show me the creator of the TV series ""Breaking Bad""."
"  16. Add a research paper with title ""Deep Learning"" and author ""Ian Goodfellow""."
"  17. Get all entities related to the research paper ""Deep Learning""."
"  18. Update the research paper ""Deep Learning"" with a new citation count"
"  19. Delete the research paper with the title ""Deep Learning""."
"  20. Show me the author of the research paper ""Deep Learning""."
"  21. Add a software package with name ""NumPy"" and creator ""Evan Miller""."
"  22. Get all entities related to the software package ""NumPy""."
"  23. Update the software package ""NumPy"" with a new version"
"  24. Delete the software package with the name ""NumPy""."
"  25. Show me the creator of the software package ""NumPy""."
"  26. Add an electronics component with name ""Resistor"" and manufacturer ""Vishay""."
"  27. Get all entities related to the electronics component ""Resistor""."
"  28. Update the electronics component ""Resistor"" with a new resistance value"
"  29. Delete the electronics component with the name ""Resistor""."
"  30. Show me the manufacturer of the electronics component ""Resistor""."
"  31. Add a pharmaceutical product with name ""Ibuprofen"" and manufacturer ""Sanofi""."
"  32. Get all entities related to the pharmaceutical product ""Ibuprofen""."
"  33. Update the pharmaceutical product ""Ibuprofen"" with a new dosage"
"  34. Delete the pharmaceutical product with the name ""Ibuprofen""."
"  35. Show me the manufacturer of the pharmaceutical product ""Ibuprofen""."
"  36. Add a software tool with name ""Visual Studio Code"" and developer ""Microsoft""."
"  37. Get all entities related to the software tool ""Visual Studio Code""."
"  38. Update the software tool ""Visual Studio Code"" with a new version"
"  39. Delete the software tool with the name ""Visual Studio Code""."
"  40. Show me the developer of the software tool ""Visual Studio Code""."
"  41. Add a musical composition with title ""Clair de Lune"" and composer ""Claude Debussy""."
"  42. Get all entities related to the musical composition ""Clair de Lune""."
"  43. Update the musical composition ""Clair de Lune"" with a new performance count"
"  44. Delete the musical composition with the title ""Clair de Lune""."
